00000000|ALLS|  Allstate Life Insurance Co of New York
00008431|AMGE| American General Life Insurance Company
00085848|AXAA|    AXA Equitable Life Insurance Company
00154139|BANN|           Banner Life Insurance Company
00191104|CETN|                 Centrian Life Insurance
00198426|CINN|       Cincinnati Life Insurance Company
00312735|GEAN|  Genworth Life and Annuity Insurance Co
00369785|GECA|         Genworth Life Insurance Company
00424884|GRAN|           Grange Life Insurance Company
00427443|LNLI|    Lincoln Life & Annuity Company of NY
00434713|LNNA| Lincoln National Life Insurance Company
00516741|NORA|   North American Co for Life and Health
00581079|PROT|       Protective Life Insurance Company
00674880|PRUC|            Pruco Life Insurance Company
00742497|PRUJ|   Pruco Life Insurance Co of New Jersey
00757017|RELL|        ReliaStar Life Insurance Company
00808617|RELR|          ReliaStar Life Insurance of NY
00819257|SAGI|          Sagicor Life Insurance Company
00869449|SAVE|    Savings Bank Life Insurance Co of MA
00953904|TRAF|Transamerica Financial Life Insurance Co
00975352|TRAN|     Transamerica Life Insurance Company
01075224|UTST|United States Life Ins in the City of NY
01084424|WILP|    William Penn Life Insurance Co of NY
